"","kegg_id","path","mono_mass","biofluids","diseases"
"944","C01956","hmdb/HMDB01978.xml","139.038176419","
  ",""
"945","C00840","hmdb/HMDB01980.xml","1055.431705989","Blood/Cerebrospinal Fluid (CSF)","motor neuron disease/Cerebrospinal Fluid (CSF)"
"946","C05198","hmdb/HMDB01983.xml","251.101839307","Blood/Urine",""
"947","C00753","hmdb/HMDB01989.xml","183.950932553","Blood/Cerebrospinal Fluid (CSF)/Urine","Alzheimer's disease/Blood//Parkinson's disease/Blood//Multiple sclerosis/Blood//Occluded vessels/Blood//Alzheimer's disease/Blood"
"948","C16353","hmdb/HMDB01991.xml","166.049075456","Blood/Urine","Asthma/Urine"
"949","C05455","hmdb/HMDB01993.xml","400.334130652","Blood/Urine","Irritable bowel syndrome/Blood//Diverticular disease/Blood//Ileocysoiplasty/Blood//Meckels diverticulum/Blood//Atrophic gastritis/Blood//Cronh's ileitis/Blood//Chronic pancreatitis/Blood//Alcohol abuse/Blood//Gallstone disease/Blood"
"950","C06428","hmdb/HMDB01999.xml","302.224580204","Blood/Urine","Hypertension/Blood//Essential hypertension/Blood//Essential hypertension/Blood"
"951","C08322","hmdb/HMDB02000.xml","226.193280076","Blood",""
"952","C08320","hmdb/HMDB02003.xml","368.36543078","Blood",""
"953","C08309","hmdb/HMDB02004.xml","218.141913208","Blood/Urine","Surgical patients/Urine//Psychiatric patients/Urine//Internal medical patients/Urine"
"954","C03401","hmdb/HMDB02006.xml","104.05857751","Blood/Urine",""
"955","C00877","hmdb/HMDB02009.xml","835.141423115","
  ",""
"956","C00399","hmdb/HMDB02012.xml","250.120509064","Blood","Multiple sclerosis /Blood"
"957","C02862","hmdb/HMDB02013.xml","231.147058165","Blood/Cerebrospinal Fluid (CSF)/Urine","Celiac disease/Blood//Very long-chain acyl-CoA dehydrogenase deficiency (vLCAD)/Blood"
"958","C02455","hmdb/HMDB02017.xml","121.089149357","Blood/Cerebrospinal Fluid (CSF)/Urine","Parkinson's disease/Blood"
"959","C01389","hmdb/HMDB02019.xml","296.307915902","
  ",""
"960","C03838","hmdb/HMDB02022.xml","286.056601978","
  ",""
"961","C02835","hmdb/HMDB02024.xml","126.042927446","Blood/Cerebrospinal Fluid (CSF)/Urine",""
"962","C05100","hmdb/HMDB02031.xml","146.069142196","Blood/Cerebrospinal Fluid (CSF)/Urine","Beta-ureidopropionase deficiency/Cerebrospinal Fluid (CSF)"
"963","C20155","hmdb/HMDB02032.xml","167.044324429","Blood/Cerebrospinal Fluid (CSF)","Diabetes/Blood//Alzheimer's disease/Cerebrospinal Fluid (CSF)"
"964","C00811","hmdb/HMDB02035.xml","164.047344122","Blood/Urine",""
"965","C01485","hmdb/HMDB02036.xml","82.953596573","
  ",""
"966","C02728","hmdb/HMDB02038.xml","160.121177766","Blood/Cerebrospinal Fluid (CSF)/Urine",""
"967","C11118","hmdb/HMDB02039.xml","85.052763851","Blood","Bladder infections/Blood"
"968","C01467","hmdb/HMDB02048.xml","108.057514878","Blood/Urine","Cresol poisoning/Blood//Cresol poisoning/Blood"
"969","C00975","hmdb/HMDB02050.xml","148.00078786","
  ",""
"970","C01036","hmdb/HMDB02052.xml","200.032087988","
  ",""
"971","C03345","hmdb/HMDB02054.xml","849.157073179","
  ",""
"972","C01542","hmdb/HMDB02055.xml","108.057514878","Blood/Urine","Cresol poisoning/Blood"
"973","C07297","hmdb/HMDB02057.xml","1061.371088697","
  ",""
"974","C08317","hmdb/HMDB02059.xml","216.172544634","
  ",""
"975","C00518","hmdb/HMDB02061.xml","425.153325333","Blood/Cerebrospinal Fluid (CSF)","Biliary atresia/Blood//Hepatitis/Blood//Epilepsy/Cerebrospinal Fluid (CSF)"
"976","C02714","hmdb/HMDB02064.xml","130.11061308","Blood/Urine","Leukemia/Urine//Leukemia/Urine"
"977","C04244","hmdb/HMDB02065.xml","239.101839307","
  ",""
"978","C08316","hmdb/HMDB02068.xml","338.318480588","Blood","Adrenomyeloneuropathy/Blood"
"979","C01127","hmdb/HMDB02070.xml","162.016437924","
  ",""
"980","C01486","hmdb/HMDB02077.xml","66.958681951","
  ",""
"981","C01417","hmdb/HMDB02078.xml","41.997988627","Blood",""
"982","C08363","hmdb/HMDB02080.xml","281.2480553","
  ",""
"983","C00177","hmdb/HMDB02084.xml","27.010899037","Blood/Urine",""
"984","C10833","hmdb/HMDB02085.xml","198.05282343","Blood/Urine","Hypertension (mild)/Urine//Hypertension (mild)/Urine"
"985","C00194","hmdb/HMDB02086.xml","1578.65834557","
  ",""
"986","C00490","hmdb/HMDB02092.xml","130.02660868","
  ",""
"987","C11284","hmdb/HMDB02096.xml","203.094628665","
  ",""
"988","C08434","hmdb/HMDB02099.xml","149.070145249","
  ",""
"989","C16512","hmdb/HMDB02100.xml","299.282429433","Blood/Cerebrospinal Fluid (CSF)",""
"990","C06340","hmdb/HMDB02103.xml","402.349780716","Blood/Cerebrospinal Fluid (CSF)","Multiple sclerosis/Cerebrospinal Fluid (CSF)//Alzheimer's disease/Cerebrospinal Fluid (CSF)//Acute or chronic demyelinating polyneuropathies/Cerebrospinal Fluid (CSF)//Subarachnoid haemorrhage/Cerebrospinal Fluid (CSF)//Meningitis/Cerebrospinal Fluid (CSF)//Neuroborreliosis/Cerebrospinal Fluid (CSF)//Mild cognitive impairment/Cerebrospinal Fluid (CSF)//Multiple sclerosis/Cerebrospinal Fluid (CSF)"
"991","C01165","hmdb/HMDB02104.xml","131.058243159","
  ",""
"992","C01606","hmdb/HMDB02107.xml","166.02660868","Blood/Saliva/Urine","Hemodialysis/Blood"
"993","C00001","hmdb/HMDB02111.xml","18.010564686","Amniotic Fluid/Aqueous Humour/Ascites Fluid/Blood/Breast Milk/Cerebrospinal Fluid (CSF)/Lymph/Saliva/Sweat/Tears",""
"994","C04397","hmdb/HMDB02113.xml","131.058243159","
  ",""
"995","C19670","hmdb/HMDB02117.xml","281.271864747","
  ",""
"996","C09069","hmdb/HMDB02121.xml","330.18310932","
  ",""
"997","C06476","hmdb/HMDB02122.xml","352.224974134","
  ",""
"998","C01477","hmdb/HMDB02124.xml","270.05282343","Blood",""
"999","C05823","hmdb/HMDB02127.xml","122.003764748","
  ",""
"1000","C01888","hmdb/HMDB02134.xml","73.052763851","Blood/Urine",""
"1001","D01211","hmdb/HMDB02140.xml","473.165896125","
  ",""
"1002","C00009","hmdb/HMDB02142.xml","97.976895096","Blood/Urine",""
"1003","C11143","hmdb/HMDB02151.xml","78.013935504","Cerebrospinal Fluid (CSF)",""
"1004","C02110","hmdb/HMDB02152.xml","284.214015518","
  ",""
"1005","C05768","hmdb/HMDB02158.xml","660.315914404","Blood","Porphyria/Blood"
"1006","C04644","hmdb/HMDB02159.xml","1183.444253639","
  ",""
"1007","C03284","hmdb/HMDB02166.xml","103.063328537","Blood/Urine",""
"1008","C00704","hmdb/HMDB02168.xml","31.989829244","
  ",""
"1009","C05989","hmdb/HMDB02170.xml","837.120687673","
  ",""
"1010","C03413","hmdb/HMDB02172.xml","286.236876224","Blood/Urine","Leukemia/Urine//Leukemia/Urine"
"1011","C05776","hmdb/HMDB02174.xml","1328.564331295","Blood/Cerebrospinal Fluid (CSF)","Relapse-Remitting Multiple Sclerosis/Cerebrospinal Fluid (CSF)//Secondary-Progressive Multiple Sclerosis/Cerebrospinal Fluid (CSF)"
"1012","C06263","hmdb/HMDB02175.xml","27.976926533","Blood/Cerebrospinal Fluid (CSF)","Multiple sclerosis/Blood//Parkinson's disease/Blood//Parkinson's disease/Blood//Parkinson's disease/Blood//Alzheimer's disease/Blood"
"1013","C18319","hmdb/HMDB02176.xml","102.068079564","Urine",""
"1014","C05448","hmdb/HMDB02178.xml","1199.439168261","
  ",""
"1015","C16845","hmdb/HMDB02179.xml","61.987817871","Cerebrospinal Fluid (CSF)","Multiple sclerosis/Cerebrospinal Fluid (CSF)//Multiple sclerosis/Cerebrospinal Fluid (CSF)"
"1016","C05413","hmdb/HMDB02181.xml","544.500802048","Blood",""
"1017","C07441","hmdb/HMDB02182.xml","167.094628665","Blood/Urine",""
"1018","C06429","hmdb/HMDB02183.xml","328.240230268","Blood/Cerebrospinal Fluid (CSF)/Urine","Hypertension/Blood//Essential hypertension/Blood//Essential hypertension/Blood//Stroke/Cerebrospinal Fluid (CSF)//Thyroid cancer/Urine"
"1019","C01029","hmdb/HMDB02189.xml","187.168462309","Blood/Urine","Breast cancer /Blood//Breast cancer /Urine//Leukemia/Urine//Leukemia/Urine//Pancreatic cancer/Urine"
"1020","C14768","hmdb/HMDB02190.xml","320.23514489","Blood",""
"1021","C15471","hmdb/HMDB02196.xml","208.980383241","Blood","Multiple sclerosis/Blood//Parkinson's disease/Blood//Alzheimer's disease/Blood"
"1022","C05457","hmdb/HMDB02197.xml","416.329045274","
  ",""
"1023","C01744","hmdb/HMDB02199.xml","166.062994186","Blood/Urine",""
"1024","C05952","hmdb/HMDB02200.xml","439.239243989","Blood/Urine","Eczema/Blood//Sjögren–Larsson syndrome/Urine"
"1025","C08580","hmdb/HMDB02204.xml","596.386560152","Blood",""
"1026","C16511","hmdb/HMDB02205.xml","183.020143093","
  ",""
"1027","C05924","hmdb/HMDB02206.xml","522.891898123","
  ",""
"1028","C14131","hmdb/HMDB02209.xml","242.094294314","Blood/Urine","Soy consumption ( ileostomies)/Urine"
"1029","C05766","hmdb/HMDB02211.xml","836.27523138","
  ",""
"1030","C06425","hmdb/HMDB02212.xml","312.302830524","Blood",""
"1031","C06577","hmdb/HMDB02214.xml","148.088815006","Urine",""
"1032","C00268","hmdb/HMDB02215.xml","239.101839307","Blood",""
"1033","C06002","hmdb/HMDB02217.xml","102.031694058","
  ",""
"1034","C03592","hmdb/HMDB02224.xml","241.106255983","
  ",""
"1035","C16527","hmdb/HMDB02226.xml","332.271530396","Blood",""
"1036","C06866","hmdb/HMDB02227.xml","305.199093735","
  ",""
"1037","C16526","hmdb/HMDB02231.xml","310.28718046","Blood",""
"1038","C14769","hmdb/HMDB02232.xml","320.23514489","Blood",""
"1039","C04282","hmdb/HMDB02234.xml","129.042593095","
  ",""
"1040","C10164","hmdb/HMDB02243.xml","123.032028409","Blood/Cerebrospinal Fluid (CSF)/Urine","Circulatory system disorder/Cerebrospinal Fluid (CSF)//control/Cerebrospinal Fluid (CSF)//amyotrophic lateral sclerosis/Cerebrospinal Fluid (CSF)//amyotrophic lateral sclerosis/Cerebrospinal Fluid (CSF)//Sporadic amyotrophic lateral sclerosis/Cerebrospinal Fluid (CSF)//Familial amyotrophic lateral sclerosis/Cerebrospinal Fluid (CSF)//Amyotrophic lateral sclerosis (bulbar onset)/Cerebrospinal Fluid (CSF)"
"1041","C00512","hmdb/HMDB02252.xml","871.141423115","
  ",""
"1042"," C01213 ","hmdb/HMDB02255.xml","867.131252359","
  ",""
"1043","C02530","hmdb/HMDB02262.xml","568.52193142","
  ",""
"1044","C14775","hmdb/HMDB02265.xml","338.245709576","Blood/Cerebrospinal Fluid (CSF)",""
"1045","C15981","hmdb/HMDB02268.xml","552.433116414","Blood",""
"1046","C10443","hmdb/HMDB02269.xml","368.125988372","Blood",""
"1047","C05414","hmdb/HMDB02272.xml","542.485151984","
  ",""
"1048","C03079","hmdb/HMDB02273.xml","161.032422339","
  ",""
"1049","C06453","hmdb/HMDB02274.xml","1343.587806391","Cerebrospinal Fluid (CSF)","fibromyalgia/Cerebrospinal Fluid (CSF)"
"1050","C04874","hmdb/HMDB02275.xml","255.096753929","
  ",""
"1051","C15522","hmdb/HMDB02281.xml","257.112403993","
  ",""
"1052","C06269","hmdb/HMDB02290.xml","74.921596417","Blood/Cerebrospinal Fluid (CSF)/Urine",""
"1053","C01205","hmdb/HMDB02299.xml","103.063328537","
  ",""
"1054","C00580","hmdb/HMDB02303.xml","62.019020882","Blood/Cerebrospinal Fluid (CSF)/Urine","Dimethyl sulfide poisoning/Blood"
"1055","C04640","hmdb/HMDB02305.xml","313.067501015","
  ",""
"1056","C01327","hmdb/HMDB02306.xml","35.976677739","
  ",""
"1057","C00894","hmdb/HMDB02307.xml","821.125773051","
  ",""
"1058","C08230","hmdb/HMDB02308.xml","1346.574895981","
  ",""
"1059","C00683","hmdb/HMDB02310.xml","867.131252359","
  ",""
"1060","C14773","hmdb/HMDB02311.xml","338.245709576","Blood/Cerebrospinal Fluid (CSF)",""
"1061","C14774","hmdb/HMDB02314.xml","338.245709576","Blood/Cerebrospinal Fluid (CSF)",""
"1062","C05132","hmdb/HMDB02320.xml","156.053492132","Blood/Urine",""
"1063","C01672","hmdb/HMDB02322.xml","102.115698458","Blood/Urine","Kidney disease/Blood//Kidney disease/Blood//Leukemia/Urine//Leukemia/Urine//Pancreatic cancer/Urine"
"1064","C10205","hmdb/HMDB02326.xml","268.037173366","Blood/Urine",""
"1065","C00209","hmdb/HMDB02329.xml","89.995308552","Blood/Urine","Hemodialysis /Blood//Hemodialysis/Blood//Primary hyperoxaluria I/Urine"
"1066","C05131","hmdb/HMDB02331.xml","258.08518619","
  ",""
"1067","C05527","hmdb/HMDB02332.xml","151.977943928","
  ",""
"1068","C08996","hmdb/HMDB02336.xml","354.095082174","
  ",""
"1069","C00814","hmdb/HMDB02338.xml","284.068473494","Blood/Urine",""
"1070","C07215","hmdb/HMDB02340.xml","136.0524295","Urine",""
"1071","C14772","hmdb/HMDB02343.xml","338.245709576","Blood",""
"1072","C00827","hmdb/HMDB02346.xml","839.136337737","
  ",""
"1073","D01924","hmdb/HMDB02350.xml","270.292265838","
  ",""
"1074","C09627","hmdb/HMDB02352.xml","236.177630012","
  ",""
"1075","C13807","hmdb/HMDB02363.xml","352.224974134","
  ",""
"1076","C17148","hmdb/HMDB02364.xml","456.360345402","Blood",""
"1077","C17438","hmdb/HMDB02367.xml","790.50662781","
  ",""
"1078","C08323","hmdb/HMDB02368.xml","366.349780716","Blood",""
"1079","C15493","hmdb/HMDB02369.xml","300.20893014","Blood",""
"1080","C08821","hmdb/HMDB02374.xml","412.370516158","Blood","Phytosterolemia/Blood"
"1081","C10437","hmdb/HMDB02375.xml","474.07982604","
  ",""
"1082","C01838","hmdb/HMDB02384.xml","268.276615774","
  ",""
"1083","C06266","hmdb/HMDB02386.xml","11.009305466","Blood/Cerebrospinal Fluid (CSF)/Urine",""
"1084","C16460","hmdb/HMDB02387.xml","9.012182135","Blood/Cerebrospinal Fluid (CSF)","Parkinson's disease/Blood//Alzheimer's disease/Blood"
"1085","C14088","hmdb/HMDB02390.xml","152.047344122","Blood/Urine",""
"1086","C16939","hmdb/HMDB02392.xml","472.355260024","
  ",""
"1087","C12269","hmdb/HMDB02393.xml","147.053157781","
  ",""
"1088","C08988","hmdb/HMDB02395.xml","456.360345402","
  ",""
"1089","C08589","hmdb/HMDB02398.xml","976.378752976","
  ",""
"1090","C13808","hmdb/HMDB02400.xml","352.224974134","
  ",""
"1091","C06337","hmdb/HMDB02428.xml","166.02660868","Blood/Urine",""
"1092","C00530","hmdb/HMDB02434.xml","110.036779436","Blood/Urine",""
"1093","C19609","hmdb/HMDB02457.xml","57.935347922","Blood/Cerebrospinal Fluid (CSF)/Urine","Multiple sclerosis/Blood//Parkinson's disease/Blood//Alzheimer's disease/Blood"
"1094","C00587","hmdb/HMDB02466.xml","138.031694058","Blood/Urine",""
"1095","C15559","hmdb/HMDB02496.xml","529.270938047","
  ",""
"1096","C01324","hmdb/HMDB02500.xml","78.918337647","Blood/Cerebrospinal Fluid (CSF)/Urine",""
"1097","C15472","hmdb/HMDB02501.xml","73.921178213","Blood/Urine",""
"1098","C06267","hmdb/HMDB02503.xml","50.943963675","Blood/Cerebrospinal Fluid (CSF)/Urine","Alzheimer's disease/Blood//Parkinson's disease/Blood//Multiple sclerosis/Blood"
"1099","C03033","hmdb/HMDB02513.xml","552.329833134","Blood/Urine",""
"1100","C02979","hmdb/HMDB02520.xml","172.013674532","
  ",""
"1101","C17661","hmdb/HMDB02536.xml","392.292659768","
  ",""
"1102","C03383","hmdb/HMDB02541.xml","178.047738052","
  ",""
"1103","C08348","hmdb/HMDB02545.xml","194.042652674","
  ",""
"1104","C03033","hmdb/HMDB02579.xml","625.346211479","Blood/Urine",""
"1105","C03642","hmdb/HMDB02580.xml","563.258658801","
  ",""
"1106","C03033","hmdb/HMDB02596.xml","568.324747756","Blood/Urine",""
"1107","C11301","hmdb/HMDB02639.xml","513.276023425","Blood/Urine","Hepatitis/Urine//Hepatitis/Urine//Cirrhosis/Urine"
"1108","C01772","hmdb/HMDB02641.xml","164.047344122","
  ",""
"1109","C01796","hmdb/HMDB02649.xml","120.042258744","
  ",""
"1110","C10084","hmdb/HMDB02655.xml","316.058302738","Blood/Urine",""
"1111","C04685","hmdb/HMDB02656.xml","336.230059512","Blood",""
"1112","C01020","hmdb/HMDB02658.xml","139.026943031","Urine","Prostate Cancer/Urine//Autosomal dominant polycystic kidney disease/Urine"
"1113","C06710","hmdb/HMDB02659.xml","106.90509302","Blood/Cerebrospinal Fluid (CSF)",""
"1114","C06439","hmdb/HMDB02664.xml","350.20932407","Blood",""
"1115","C01081","hmdb/HMDB02666.xml","344.070812254","Cerebrospinal Fluid (CSF)","Alzheimer's disease/Cerebrospinal Fluid (CSF)"
"1116","C00509","hmdb/HMDB02670.xml","272.068473494","Blood/Urine",""
"1117","C06475","hmdb/HMDB02685.xml","356.256274262","Blood",""
"1118","C06472","hmdb/HMDB02704.xml","194.042652674","Blood/Urine",""
"1119","C00308","hmdb/HMDB02706.xml","176.09094027","
  ",""
"1120","C05905","hmdb/HMDB02708.xml","322.024415791","Blood/Urine",""
"1121","C05957","hmdb/HMDB02710.xml","334.214409448","Blood",""
"1122","C07326","hmdb/HMDB02712.xml","164.068473494","Blood/Cerebrospinal Fluid (CSF)","Diabetes/Blood//Diabetes/Blood//Diabetes/Blood//Alzheimer's disease/Cerebrospinal Fluid (CSF)"
"1123","C01438","hmdb/HMDB02714.xml","16.031300128","Blood/Urine",""
"1124","C01802","hmdb/HMDB02719.xml","384.33921603","Blood/Semen","Primary biliary cirrhosis before liver transplantation/Blood"
"1125","C07254","hmdb/HMDB02725.xml","274.193280076","Blood",""
"1126","C08596","hmdb/HMDB02741.xml","658.423339588","
  ",""
"1127","C05953","hmdb/HMDB02752.xml","334.214409448","Blood",""
"1128","C10107","hmdb/HMDB02755.xml","318.037567296","Blood",""
"1129","C00506","hmdb/HMDB02757.xml","169.004493029","
  ",""
"1130","C04671","hmdb/HMDB02776.xml","352.224974134","Blood/Urine",""
"1131","C06562","hmdb/HMDB02780.xml","290.07903818","Blood/Urine",""
"1132","C13526","hmdb/HMDB02783.xml","862.195643656","
  ",""
"1133","C00088","hmdb/HMDB02786.xml","45.992903249","Blood/Cerebrospinal Fluid (CSF)/Saliva","Trauma/Blood//Malaria/Blood//Motor neuron disease (MND)/Cerebrospinal Fluid (CSF)//Preeclampsia/Cerebrospinal Fluid (CSF)//Preeclampsia/Cerebrospinal Fluid (CSF)"
"1134","C06098","hmdb/HMDB02789.xml","568.428031036","Blood",""
"1135","C00762","hmdb/HMDB02802.xml","360.193674006","Blood/Urine","Depersonalization syndrome/Blood//Systemic lupus erythematosus (SLE)/Urine//Systemic lupus erythematosus (SLE)/Urine//Rheumatoid arthritis/Urine//Rheumatoid arthritis/Urine"
"1136","C04230","hmdb/HMDB02815.xml","521.348139535","Blood",""
"1137","C07599","hmdb/HMDB02818.xml","142.001456562","
  ",""
"1138","C05828","hmdb/HMDB02820.xml","140.05857751","Blood/Cerebrospinal Fluid (CSF)/Urine","Mastocytosis/Urine"
"1139","C07480","hmdb/HMDB02825.xml","180.06472552","Blood/Cerebrospinal Fluid (CSF)/Urine","Malaria/Blood//severe traumatic brain injury (TBI)/Cerebrospinal Fluid (CSF)//Traumatic Brain Injury (TBI)/Cerebrospinal Fluid (CSF)//Traumatic Brain Injury (TBI)/Cerebrospinal Fluid (CSF)//Traumatic Brain Injury (TBI)/Cerebrospinal Fluid (CSF)//Traumatic Brain Injury (TBI)/Cerebrospinal Fluid (CSF)//Autosomal dominant polycystic kidney disease/Urine//Asthma/Urine"
"1140","C11135","hmdb/HMDB02829.xml","466.256668192","Blood/Urine",""
"1141","C17925","hmdb/HMDB02832.xml","183.089543287","
  ",""
"1142","C06938","hmdb/HMDB02835.xml","337.204179113","
  ",""
"1143","C05270","hmdb/HMDB02845.xml","865.188373307","
  ",""
"1144","C00746","hmdb/HMDB02865.xml","1006.436457016","Cerebrospinal Fluid (CSF)/Urine","Prader-Willi syndrome/Cerebrospinal Fluid (CSF)//Prader-Willi syndrome/Cerebrospinal Fluid (CSF)"
"1145","C01789","hmdb/HMDB02869.xml","400.370516158","Blood/Urine","Phytosterolemia/Blood"
"1146","C05414","hmdb/HMDB02871.xml","542.485151984","Blood",""
"1147","C00244","hmdb/HMDB02878.xml","61.987817871","Blood/Cerebrospinal Fluid (CSF)","Kidney disease/Blood//Preeclampsia/Cerebrospinal Fluid (CSF)//Amyotrophic lateral sclerosis/Cerebrospinal Fluid (CSF)"
"1148","C05961","hmdb/HMDB02886.xml","370.23553882","Blood/Cerebrospinal Fluid (CSF)/Urine","Cardiopulmonary resuscitation/Blood//Cardiopulmonary resuscitation/Blood//Spinal cord injuries (acute stage)/Cerebrospinal Fluid (CSF)//closed head/Cerebrospinal Fluid (CSF)//closed head/Cerebrospinal Fluid (CSF)//gunshot wound/Cerebrospinal Fluid (CSF)//hydrocephalus/Cerebrospinal Fluid (CSF)//hypoxic/ischemic/Cerebrospinal Fluid (CSF)//meningitis/Cerebrospinal Fluid (CSF)//subarachnoid hemorrhage with cerebral vasospasm/Cerebrospinal Fluid (CSF)//subarachnoid hemorrhage without cerebral vasospasm/Cerebrospinal Fluid (CSF)//Rheumatoid arthritis/Urine"
"1149","C02376","hmdb/HMDB02894.xml","125.058911861","Prostate Tissue","Prostate concentration/Prostate Tissue"
"1150","C10788","hmdb/HMDB02899.xml","302.006267168","Blood/Urine",""
"1151","C14151","hmdb/HMDB02902.xml","402.349780716","Blood",""
"1152","C02235","hmdb/HMDB02916.xml","155.021857653","
  ",""
"1153","C00379","hmdb/HMDB02917.xml","152.068473494","Blood/Cerebrospinal Fluid (CSF)/Urine","Ribose-5-phosphate isomerase deficiency/Blood//Ribose-5-Phosphate Isomerase Deficiency/Cerebrospinal Fluid (CSF)//Ribose-5-Phosphate Isomerase Deficiency/Urine"
"1154","C00252","hmdb/HMDB02923.xml","342.116211546","Blood","Kidney disease/Blood"
"1155","C03242","hmdb/HMDB02925.xml","306.255880332","Blood",""
"1156","C09789","hmdb/HMDB02927.xml","580.179205732","Urine",""
"1157","C10188","hmdb/HMDB02937.xml","318.073952802","
  ",""
"1158","C19263","hmdb/HMDB02939.xml","100.088815006","Urine","Breast cancer/Urine"
"1159","C03917","hmdb/HMDB02961.xml","290.224580204","Blood/Cerebrospinal Fluid (CSF)/Urine","Psychiatric patient/Blood//Leuprolide acetate-induce hypogonadism/Cerebrospinal Fluid (CSF)//Leuprolide acetate-induced hypogonadism with testosterone replacment/Cerebrospinal Fluid (CSF)"
"1160","C05849","hmdb/HMDB02972.xml","466.344695338","Blood",""
"1161","C00959","hmdb/HMDB02982.xml","336.230059512","
  ",""
"1162","C14606","hmdb/HMDB02984.xml","306.219494826","Blood/Urine","Stress urinary incontinence/Urine"
"1163","C01177","hmdb/HMDB02985.xml","260.029718526","Prostate Tissue","Prostate Cancer/Prostate Tissue"
"1164","C01678","hmdb/HMDB02991.xml","77.029919919","Urine",""
"1165","C00503","hmdb/HMDB02994.xml","122.057908808","Blood/Cerebrospinal Fluid (CSF)/Urine","Ribose-5-Phosphate Isomerase Deficiency/Cerebrospinal Fluid (CSF)"
"1166","C02165","hmdb/HMDB02995.xml","338.245709576","
  ",""
"1167","C05432","hmdb/HMDB03000.xml","536.438201792","Blood","Endometrial cancer/Blood"
"1168","C00979","hmdb/HMDB03011.xml","147.053157781","Blood/Urine",""
"1169","C00292","hmdb/HMDB03012.xml","93.057849229","Urine",""
"1170","C08606","hmdb/HMDB03020.xml","600.41786028","
  ",""
"1171","C03427","hmdb/HMDB03023.xml","722.444027554","
  ",""
"1172","C13802","hmdb/HMDB03034.xml","350.20932407","Blood",""
"1173","C05570","hmdb/HMDB03045.xml","229.088497429","
  ",""
"1174","C00424","hmdb/HMDB03052.xml","74.036779436","
  ",""
"1175","C15857","hmdb/HMDB03063.xml","540.46950192","
  ",""
"1176","C01484","hmdb/HMDB03066.xml","208.088815006","
  ",""
"1177","C04042","hmdb/HMDB03069.xml","316.240230268","Blood",""
"1178","C00493","hmdb/HMDB03070.xml","174.05282343","Blood/Urine","Prostate Cancer/Urine"
"1179","C06746","hmdb/HMDB03072.xml","192.063388116","Blood","Prostate Cancer/Blood"
"1180","C06426","hmdb/HMDB03073.xml","278.224580204","Blood",""
"1181","C05908","hmdb/HMDB03074.xml","338.019330413","
  ",""
"1182","C10043","hmdb/HMDB03075.xml","222.068079564","
  ",""
"1183","C05951","hmdb/HMDB03080.xml","496.260707712","Blood",""
"1184","C02095","hmdb/HMDB03081.xml","164.068473494","
  ",""
"1185","C16359","hmdb/HMDB03099.xml","182.043990078","Amniotic Fluid/Blood/Urine","Canavan disease/Urine"
"1186","C08614","hmdb/HMDB03101.xml","600.41786028","
  ",""
"1187","C05431","hmdb/HMDB03114.xml","538.453851856","
  ",""
"1188","C07311","hmdb/HMDB03116.xml","328.251463656","Blood/Urine",""
"1189","C00556","hmdb/HMDB03119.xml","108.057514878","
  ",""
"1190","C00027","hmdb/HMDB03125.xml","34.005479308","Blood","Coronary heart disease/Blood//Coronary heart disease/Blood//Coronary heart disease/Blood//Coronary heart disease/Blood"
"1191","C05481","hmdb/HMDB03128.xml","366.240624198","Urine","Stress urinary incontinence/Urine//Eating disorder/Urine//Eating disorder/Urine"
"1192","C05552","hmdb/HMDB03134.xml","372.183126094","
  ",""
"1193","C11061","hmdb/HMDB03141.xml","476.241018128","Blood/Urine",""
"1194","C09731","hmdb/HMDB03153.xml","458.084911418","Blood/Urine",""
"1195","C08583","hmdb/HMDB03154.xml","564.396730908","Blood",""
"1196","C00265","hmdb/HMDB03156.xml","90.068079564","Blood","Cirrhosis/Blood"
"1197","C03139","hmdb/HMDB03157.xml","175.059305791","Blood/Cellular Cytoplasm/Cerebrospinal Fluid (CSF)/Urine","Cirrhosis/Blood//Chronic renal failure/Blood"
"1198","C00852","hmdb/HMDB03164.xml","354.095082174","Blood/Urine",""
"1199","C08727","hmdb/HMDB03173.xml","352.034980477","
  ",""
"1200","C04707","hmdb/HMDB03175.xml","350.20932407","Blood",""
"1201","C00032","hmdb/HMDB03178.xml","616.177297665","
  ",""
"1202","C05482","hmdb/HMDB03180.xml","368.256274262","Urine","Eating disorder/Urine//Eating disorder/Urine//Stress urinary incontinence/Urine"
"1203","C04051","hmdb/HMDB03192.xml","126.054160834","Blood/Urine","Malignant melanoma or sarcoma/Blood"
"1204","C11134","hmdb/HMDB03193.xml","464.241018128","Blood/Semen/Urine",""
"1205","C08716","hmdb/HMDB03201.xml","366.050630541","
  ",""
"1206","C02198","hmdb/HMDB03208.xml","296.307915902","Cerebrospinal Fluid (CSF)","Spinal cord injuries (acute stage)/Cerebrospinal Fluid (CSF)"
"1207","C00492","hmdb/HMDB03213.xml","504.169034976","Blood",""
"1208","C06563","hmdb/HMDB03217.xml","270.05282343","Blood/Urine","Soy consumption ( ileostomies)/Urine"
"1209","C08842","hmdb/HMDB03218.xml","470.266838948","
  ",""
"1210","C02076","hmdb/HMDB03219.xml","210.073952802","
  ",""
"1211","C01801","hmdb/HMDB03224.xml","134.057908808","
  ",""
